respondent_id,survey_year,survey_month,gender,birth_year_tw,birth_month,residence,housing_type,school_type,course_difficulty,school_rules_schedule,sleepover_friends,curfew_time,dress_appearance,daily_routine,internet_time,relationship_status,money_usage,job_choice,father_health,talk_to_father,mother_health,talk_to_mother,life_happiness,life_quality,internet_addiction_1,internet_addiction_2,internet_addiction_3,internet_addiction_4,internet_addiction_5,edu_rank_combined,internet_use_combined_ten,internet_use_combined
3010192,2018,2,2,87,12,242,7,13,NA,NA,2,2,1,2,2,2,2,2,3,4,2,4,5,6,NA,NA,NA,NA,NA,NA,4,2
3010391,2018,2,2,83,11,242,8,13,NA,NA,4,3,3,2,1,3,2,2,3,5,2,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA
3010392,2018,3,1,86,11,242,8,13,NA,NA,2,1,1,3,3,1,1,1,3,5,3,5,5,4,NA,NA,NA,NA,NA,NA,5,3
3011181,2018,2,1,89,8,220,8,8,2,1,2,3,2,3,3,2,3,2,2,5,2,4,5,6,NA,NA,NA,NA,NA,3,3,2
3011202,2018,2,1,83,1,300,7,14,NA,NA,2,1,3,3,1,3,3,3,2,3,2,2,5,6,NA,NA,NA,NA,NA,NA,9,5
3011231,2018,2,1,89,2,220,8,5,2,1,3,2,3,3,1,1,2,3,4,4,2,3,6,6,NA,NA,NA,NA,NA,1,5,3
3011411,2018,4,2,90,11,330,8,6,2,3,4,4,3,3,3,3,3,3,1,4,3,4,5,4,NA,NA,NA,NA,NA,3,5,3
3012081,2018,3,2,90,10,300,4,8,2,1,4,3,2,2,3,4,3,2,2,4,2,3,7,4,NA,NA,NA,NA,NA,2,4,2
3013641,2018,4,1,89,5,300,4,8,2,2,NA,3,3,3,3,NA,2,1,3,5,3,4,5,6,NA,NA,NA,NA,NA,2,10,5
3020185,2018,2,2,90,1,242,7,8,1,1,4,4,2,3,3,3,1,2,3,4,3,4,7,5,NA,NA,NA,NA,NA,1,10,5
3021031,2018,2,2,86,4,220,8,13,NA,NA,1,2,1,2,1,1,2,1,3,4,2,4,6,6,NA,NA,NA,NA,NA,NA,7,4
3021032,2018,1,1,87,11,306,6,8,NA,NA,2,2,1,2,1,1,2,2,2,4,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA
